INSTNM,NPT4_COMBINED
Bell Mar Beauty College,7188
Bella Capelli Academy,15526
Bella Cosmetology and Barber College,22549
Bellarmine University,23587
Belle Academy of Cosmetology LLC,5033
Bellevue College,11289
Bellevue University,28345
Bellin College,27313
Bellingham Technical College,4971
Bellus Academy,22076
Bellus Academy-Chula Vista,20159
Bellus Academy-El Cajon,29547
Bellus Academy-Poway,30336
Belmont Abbey College,23613
Belmont College,5919
Belmont University,32096
Beloit College,21924
Bemidji State University,17050
Ben Franklin Career Center,2161
Bene's Career Academy,22360
Benedict College,17781
Benedictine College,27477
Benedictine University,23529
Benjamin Franklin Cummings Institute of Technology,16172
Bennett Career Institute,11108
Bennett College,22858
Bennington College,31918
Bentley University,38787
Berea College,4483
Bergen Community College,9376
Berk Trade and Business School,15834
Berkeley City College,8957
Berkeley College-New York,25133
Berkeley College-Woodland Park,20549
Berklee College of Music,50404
Berks Career & Technology Center,17879
Berkshire Community College,8177
Berry College,21568
Bet Medrash Gadol Ateret Torah,4382
Beth Hamedrash Shaarei Yosher Institute,4596
Beth Medrash Meor Yitzchok,10768
Beth Medrash of Asbury Park,8030
Bethany College,29203
Bethany College,15306
Bethany Global University,20833
Bethany Lutheran College,17680
Bethel College-North Newton,24392
Bethel University,19726
Bethel University,28439
Bethel University,21803
Bethesda University,8388
Bethune-Cookman University,14892
Beulah Heights University,5970
Bevill State Community College,5249
Beyond 21st Century Beauty Academy,19155
Beyond Measure Barbering Institute,11406
Big Bend Community College,10875
Big Bend Technical College,12558
Big Sandy Community and Technical College,4530
Binghamton University,21364
Biola University,28101
Birmingham-Southern College,23351
Bishop State Community College,4176
Bismarck State College,10725
Black Hawk College,6718
Black Hills State University,17001
Black River Technical College,6053
Blackburn College,21814
Blackfeet Community College,6319
Blackhawk Technical College,10712
Bladen Community College,7858
Blake Austin College,30926
Blalock's Professional Beauty College,22537
Blinn College District,17225
Bloomfield College,18778
Blue Cliff Career College,12304
Blue Cliff College-Alexandria,22485
Blue Cliff College-Gulfport,24902
Blue Cliff College-Lafayette,19164
Blue Cliff College-Metairie,22581
Blue Hills Regional Technical School,16405
Blue Mountain Christian University,18062
Blue Mountain Community College,12133
Blue Ridge Community College,8829
Blue Ridge Community College,8755
Blue Ridge Community and Technical College,4443
Bluefield State University,12529
Bluefield University,22198
Bluegrass Community and Technical College,5920
Bluffton University,17430
Bnos Zion Of Bobov Seminary,7706
Bob Jones University,17529
Boca Beauty Academy,21509
Boca Beauty Academy-Parkland,16991
Body Wisdom Massage Therapy School,48265
Boise Barber College,15109
Boise Bible College,16884
Boise State University,19182
Boricua College,14187
Borner's Barber College,22045
Bos-Man's Barber College,9039
Bossier Parish Community College,9840
Boston Architectural College,37891
Boston Baptist College,16321
Boston College,39866
Boston University,26996
Bowdoin College,20786
Bowie State University,19335
Bowling Green State University-Firelands,17791
Bowling Green State University-Main Campus,20918
Bradley University,23572
Brandeis University,33885
Branford Academy of Hair & Cosmetology-Bridgeport,15505
Branford Academy of Hair and Cosmetology,5655
Brazosport College,3022
Brenau University,20786
Brescia University,14626
Brevard College,21376
Brewton-Parker College,21983
Briar Cliff University,21590
BridgeValley Community & Technical College,4992
Bridgerland Technical College,2785
Bridges Beauty College,20849
Bridgewater College,20173
Bridgewater State University,17970
Brigham Young University,14487
Brigham Young University-Hawaii,13884
Brigham Young University-Idaho,7131
Brighton Center's Center for Employment Training,10813
Brightpoint Community College,5583
Brillare Beauty Institute,24976
Bristol Community College,6235
Brittany Beauty Academy,22033
Brittany Beauty Academy,22594
Brittany Beauty Academy,19802
Broken Arrow Beauty College,12052
Brookdale Community College,8882
Brookline College-Albuquerque,39885
Brookline College-Tempe,19642
Brookline College-Tucson,20788
Broome Delaware Tioga BOCES-Practical Nursing Program,16480
Broward College,20077
Brown Aveda Institute-Mentor,16567
Brown Aveda Institute-Strongsville,18142
Brown Beauty Barber School,19971
Brown University,26572
Brownson Technical School,32584
