INSTNM,NPT4_COMBINED
Metro Beauty Academy,19716
Metro Detroit Barber College,15909
Metro Technology Centers,7184
Metropolitan College of New York,25180
Metropolitan Community College Area,4005
Metropolitan Community College-Kansas City,8165
Metropolitan Learning Institute,9526
Metropolitan State University,19181
Metropolitan State University of Denver,14294
Miami Ad School-Atlanta,28032
Miami Dade College,5929
Miami Lakes Educational Center and Technical College,98
Miami Media School,30528
Miami Regional University,28535
Miami University-Hamilton,13346
Miami University-Middletown,13824
Miami University-Oxford,27662
Michael's Barber & Hair Stylist Academy,23855
Michigan Career and Technical Institute,11029
Michigan College of Beauty-Monroe,12605
Michigan College of Beauty-Troy,19710
Michigan State University,20751
Michigan Technological University,15729
Mid Cities Barber College,10256
Mid Michigan College,10100
Mid-America Christian University,17123
Mid-America College of Funeral Service,25456
Mid-Atlantic Christian University,25876
Mid-Del Technology Center,12239
Mid-Plains Community College,6602
Mid-South Christian College,11881
Mid-State Technical College,10724
MidAmerica Nazarene University,29520
Middle Georgia State University,13922
Middle Tennessee State University,12599
Middlebury College,25934
Middlesex College,6000
Middlesex Community College,3694
Midfield Institute of Cosmetology,10844
Midland College,5720
Midland University,24229
Midlands Technical College,5462
Midway University,23863
Midwest Barber College,18236
Midwest Institute,17111
Midwest Technical Institute-Illinois,26815
Midwest Technical Institute-Missouri,23412
Midwestern Baptist Theological Seminary,25140
Midwestern Career College,11466
Midwestern State University,11882
Midwives College of Utah,26463
Mifflin County Academy of Science and Technology,19121
Milan Institute of Cosmetology-El Paso,25964
Milan Institute of Cosmetology-Reno,20960
Milan Institute of Cosmetology-San Antonio Military,19569
Milan Institute of Cosmetology-Vacaville,25234
Milan Institute-Amarillo,27347
Milan Institute-Bakersfield,29198
Milan Institute-Clovis,21941
Milan Institute-Las Vegas,21566
Milan Institute-Merced,28094
Milan Institute-Palm Desert,27930
Milan Institute-San Antonio Ingram,27662
Milan Institute-Sparks,26286
Milan Institute-Visalia,28638
Mildred Elley School-Albany Campus,21348
Mildred Elley-New York Campus,23697
Mildred Elley-Pittsfield Campus,25069
Miles College,14514
Miles Community College,7070
Miller-Motte College-Arizona Automotive Institute,22180
Miller-Motte College-Augusta,22173
Miller-Motte College-Chattanooga,25266
Miller-Motte College-Columbus,21407
Miller-Motte College-Conway,21736
Miller-Motte College-Jacksonville,22465
Miller-Motte College-Macon,22139
Miller-Motte College-McCann-Lewisburg,21666
Miller-Motte College-McCann-Monroe,20440
Miller-Motte College-Raleigh,21131
Miller-Motte College-STVT-Arlington,24094
Miller-Motte College-STVT-Corpus Christi,20581
Miller-Motte College-STVT-McAllen,21607
Miller-Motte College-STVT-San Antonio,21496
Miller-Motte College-Tulsa,23107
Miller-Motte College-Wilmington,22772
Millersville University of Pennsylvania,20231
Milligan University,21131
Millikin University,8837
Millsaps College,25291
Milwaukee Area Technical College,9589
Milwaukee Career College,22881
Milwaukee Institute of Art & Design,27514
Milwaukee School of Engineering,24021
Mind Body Institute,23445
Mineral Area College,11123
Mineral County Vocational Technical Center,2385
Mingo Extended Learning Center,1185
Minneapolis College of Art and Design,25935
Minneapolis Community and Technical College,13235
Minnesota North College,10636
Minnesota State College Southeast,15548
Minnesota State Community and Technical College,11274
Minnesota State University Moorhead,17816
Minnesota State University-Mankato,18609
Minnesota West Community and Technical College,11898
Minot State University,12514
MiraCosta College,7178
Mirrer Yeshiva Cent Institute,11641
Misericordia University,24829
Mission Beauty Institute,3232
Mission College,5198
Mission University,21887
Mississippi College,20911
Mississippi Delta Community College,2276
Mississippi Gulf Coast Community College,7372
Mississippi Institute of Aesthetics Nails & Cosmetology,10770
Mississippi State University,15501
Mississippi University for Women,13198
Mississippi Valley State University,11812
Missouri Baptist University,25807
Missouri College of Cosmetology and Esthetics,18879
Missouri Southern State University,11653
Missouri State University-Springfield,17502
Missouri State University-West Plains,9384
Missouri University of Science and Technology,13773
Missouri Valley College,17945
Missouri Western State University,12638
Mitchell College,30841
Mitchell Community College,5761
Mitchell Technical College,13650
Mitchells Academy,14647
Mitsu Sato Hair Academy,10412
Moberly Area Community College,6935
Mobile Technical Training,13686
Model College of Hair Design,17740
Modern Beauty Academy,11582
Modern Hairstyling Institute-Arecibo,5424
Modern Hairstyling Institute-Bayamon,5532
Modern Hairstyling Institute-Carolina,5321
Modern Technology School,23046
Modern Welding School,24257
Modesto Junior College,10176
Mohave Community College,6806
Mohawk Valley Community College,8404
Moler Barber College,22135
Moler Hollywood Beauty Academy,9962
Moler-Pickens Beauty Academy,14596
Molloy College,26870
Monmouth College,18034
Monmouth University,31650
Monongalia County Technical Education Center,3110
Monroe College,10376
Monroe Community College,6569
Monroe County Community College,5261
Montana Academy of Salons,13158
Montana Barber Institute,19019
Montana State University,20593
Montana State University Billings,15044
Montana State University-Northern,14164
Montana Technological University,16240
Montcalm Community College,4352
Montclair State University,14159
Monterey Peninsula College,13498
Montessori Education Center of the Rockies,13285
Montgomery Beauty School,20589
Montgomery Beauty School-Baltimore Beauty & Barber School,18970
Montgomery College,7240
Montgomery Community College,7697
Montgomery County Community College,9930
Montreat College,26328
Montserrat College of Art,34725
Monty Tech,35312
Moody Bible Institute,25007
Moore Career College,18098
Moore College of Art and Design,43369
Moorpark College,742
Moraine Park Technical College,9935
Moraine Valley Community College,1771
Moravian University,29843
More Tech Institute,36256
Morehead State University,10089
Morehouse College,35949
Moreno Valley College,1996
Morgan Community College,7161
Morgan State University,15015
Morgantown Beauty College Inc,11040
Morningside University,23169
Morris Brown College,18898
Morris College,20375
Morris County Vocational School District,17744
Morrison Institute of Technology,24326
Morton College,6763
Motlow State Community College,10421
MotoRing Technical Training Institute,19403
Motoring Technical Training Institute,17747
Mott Community College,6258
Mount Aloysius College,20748
Mount Carmel College of Nursing,12939
Mount Holyoke College,29562
Mount Marty University,23295
Mount Mary University,18295
Mount Mercy University,23435
Mount Saint Mary College,23736
Mount Saint Mary's University,25009
Mount St. Joseph University,16135
Mount St. Mary's University,24987
Mount Vernon Nazarene University,21812
Mount Wachusett Community College,8651
Mountain Empire Community College,7226
Mountain Gateway Community College,6307
Mountain State School of Massage,26274
Mountwest Community and Technical College,8043
Mr Wayne's School of Unisex Hair Design,16300
Ms Roberts Academy of Beauty Culture,9152
Mt Hood Community College,6443
Mt San Antonio College,3107
Mt San Jacinto Community College District,7098
Mt. Diablo Adult Education-Mt. Diablo USD,12260
Muhlenberg College,30314
Multnomah University,23866
Murray State College,15071
Murray State University,9121
Musicians Institute,37793
Muskegon Community College,5196
Muskingum University,20204
My Le's Beauty College,12990
MyComputerCareer at Columbus,25617
MyComputerCareer at Indianapolis,26584
MyComputerCareer at Raleigh,26317
Myotherapy Institute,32278
Myotherapy Massage College,18198
MyrAngel Beauty Institute,7325
NASCAR Technical Institute,24587
NHTI-Concord's Community College,20134
NTMA Training Centers of Southern California,22219
NUC University,5732
Napa Valley College,14046
Naropa University,28862
Nash Community College,4477
Nashua Community College,15026
Nashville Film Institute,23818
Nashville State Community College,6283
Nassau Community College,5736
Nathan Layne Institute of Cosmetology,22214
National American University-Rapid City,22086
National Aviation Academy of New England,32825
National Aviation Academy of Tampa Bay,28485
National Career College,17772
National Career Education,24800
National Career Institute,21409
National Holistic Institute,29199
National Institute for Medical Assistant Advancement (NIMAA),10571
National Latino Education Institute,19661
National Louis University,16157
National Paralegal College,15524
National Park College,11442
National Personal Training Institute,12583
National Personal Training Institute-Tampa,13709
National Polytechnic College,31626
National University,31058
Natural Images Beauty College,20543
Navajo Technical University,3307
Navarro College,14579
Nazareth University,30521
Nebraska College of Technical Agriculture,13843
Nebraska Indian Community College,22070
Nebraska Methodist College of Nursing & Allied Health,19474
Nebraska Wesleyan University,23140
Neecee's Barber College,18256
Neighborhood Playhouse School of the Theater,33096
Neo-Esthetique European Institute,7064
Neosho Beauty College,8114
Neosho County Community College,10179
Ner Israel Rabbinical College,5548
Networks Barber College,17567
Neumann University,28714
Neumont College of Computer Science,28979
Nevada Career Institute,37850
Nevada State University,13208
New Age Training,23478
New Beginning College of Cosmetology,13055
New Beginnings Beauty Academy,19101
New Castle School of Trades,6981
New College of Florida,4536
New Community Career & Technical Institute,5716
New Concept Massage and Beauty School,13514
New Dimensions School of Hair Design,8501
New England College,30299
New England Hair Academy,19653
New England Institute of Technology,36906
New England Tractor Trailer Training School of CT-Bridgeport,16151
New England Tractor Trailer Training School of Connecticut,15448
New England Tractor Trailer Training School of Massachusetts,15735
New England Tractor Trailer Training School of Rhode Island,15411
New Hampshire Institute for Therapeutic Arts,20682
New Hope Christian College-Eugene,20468
New Jersey City University,11732
New Jersey Institute of Technology,16496
New Mexico Highlands University,14141
New Mexico Institute of Mining and Technology,8265
New Mexico Junior College,6431
New Mexico Military Institute,4686
New Mexico State University-Alamogordo,5789
New Mexico State University-Dona Ana,4621
New Mexico State University-Grants,7729
New Mexico State University-Main Campus,6747
New Professions Technical Institute,39944
New River Community College,6031
New River Community and Technical College,3494
New Tyler Barber College Inc,14499
New York Automotive and Diesel Institute,22466
New York College of Health Professions,42908
New York Conservatory for Dramatic Arts,39413
New York Film Academy,46420
New York Institute of Beauty,34330
New York Institute of Massage Inc,27645
New York Institute of Technology,20709
New York Medical Career Training Center,29174
New York School for Medical and Dental Assistants,16117
New York School of Esthetics & Day Spa,16317
New York School of Interior Design,41358
New York Seminary,11077
New York University,35035
Newberry College,20351
Newman University,19045
Newschool of Architecture and Design,48616
Niagara County Community College,7222
Niagara University,18740
Nicholls State University,12091
Nichols College,31065
Nicolet Area Technical College,9290
Nightingale College,29378
No Grease Barber School,19563
Norco College,2845
Norfolk State University,12973
Normandale Community College,12370
North Adrian's College of Beauty Inc,20347
North American Trade Schools,11812
North American University,17950
North Arkansas College,10146
North Bennet Street School,35199
North Carolina A & T State University,10980
North Carolina Central University,15028
North Carolina State University at Raleigh,16931
North Carolina Wesleyan University,18165
North Central College,23033
North Central Institute,24033
North Central Kansas Technical College,17460
North Central Michigan College,5457
North Central Missouri College,10528
North Central State College,4304
North Central Texas College,6714
North Central University,23574
North Country Community College,11690
North Dakota State College of Science,10802
North Dakota State University-Main Campus,16334
North Florida College,1799
North Florida Cosmetology Institute,16320
North Florida Technical College,4736
North Georgia Technical College,4361
North Greenville University,20612
North Hennepin Community College,9804
North Idaho College,11481
North Iowa Area Community College,8849
North Park University,18191
North Seattle College,8351
North Shore Community College,7321
North-West College-Anaheim,31140
North-West College-Glendale,34899
North-West College-Long Beach,32474
North-West College-Pomona,33256
North-West College-Riverside,29106
North-West College-San Diego,43043
North-West College-Van Nuys,33464
North-West College-West Covina,28408
NorthWest Arkansas Community College,5719
Northampton County Area Community College,10666
Northcentral Technical College,11555
Northeast Alabama Community College,1612
Northeast Community College,8812
Northeast Iowa Community College,10059
Northeast Lakeview College,4582
Northeast Mississippi Community College,9307
Northeast State Community College,5959
Northeast Technical Institute,35025
Northeast Technology Center,7251
Northeast Texas Community College,8590
Northeast Wisconsin Technical College,10506
Northeastern Illinois University,13550
Northeastern Junior College,13224
Northeastern Oklahoma A&M College,11121
Northeastern State University,11800
Northeastern Technical College,7833
Northeastern University,32116
Northern Arizona University,14922
Northern Career Institute,15670
Northern Essex Community College,3971
Northern Illinois University,12909
Northern Institute of Cosmetology,4464
Northern Kentucky University,7168
Northern Maine Community College,8416
Northern Marianas College,2795
Northern Michigan University,17485
Northern New Mexico College,5216
Northern Oklahoma College,8201
Northern State University,17094
Northern Technical College,14605
Northern Tier Career Center,16860
Northern Virginia Community College,8554
Northern Wyoming Community College District,8890
Northland College,20780
Northland Community and Technical College,13168
Northland Pioneer College,9251
Northpoint Bible College,27662
Northshore Technical Community College,9942
Northwest Career College,14842
Northwest College,7394
Northwest College of Art & Design,20185
Northwest College-Beaverton,20162
Northwest College-Clackamas,23519
Northwest College-Eugene,25401
Northwest College-Medford,21107
Northwest College-Tualatin,31346
Northwest Educational Center,11535
Northwest Florida State College,5554
Northwest HVAC/R Training Center,16737
Northwest Indian College,7625
Northwest Iowa Community College,12357
Northwest Kansas Technical College,12222
Northwest Louisiana Technical Community College,9847
Northwest Mississippi Community College,7665
Northwest Missouri State University,14824
Northwest Nazarene University,25537
Northwest School of Wooden Boat Building,25795
Northwest Shoals Community College,4545
Northwest State Community College,13696
Northwest Technical College,12941
Northwest Technical Institute,11212
Northwest Technology Center-Alva,10038
Northwest University,25161
Northwest University-Center for Online and Extended Education,26734
Northwest Vista College,4546
Northwestern College,23519
Northwestern College,24929
Northwestern Health Sciences University,29794
Northwestern Michigan College,5243
Northwestern Oklahoma State University,11366
Northwestern State University of Louisiana,13809
Northwestern Technological Institute,30525
Northwestern University,27143
Northwood Technical College,8892
Northwood University,26429
Norwich University,25600
Nossi College of Art and Design,23591
Notre Dame College,20477
Notre Dame of Maryland University,24536
Nouvelle Institute,12910
Nova Academy of Cosmetology,29868
Nova Academy of Cosmetology Woodbury,19898
Nova College de Puerto Rico,3942
Nova Southeastern University,31303
Nueta Hidatsa Sahnish College,3669
Nunez Community College,10017
Nuvani Institute,19754
Nuvani Institute,18059
Nuvo College of Cosmetology,20253
O'Briens Aveda Institute,25367
Oak Hills Christian College,24674
Oak Valley College,5805
Oakland City University,12820
Oakland Community College,4568
Oakland University,13584
Oakton College,6188
Oakwood University,23384
Oberlin College,39184
Occidental College,39329
Ocean Corporation,30210
Ocean County College,10576
Ocean County Vocational-Technical School,10226
Oconee Fall Line Technical College,294
Odessa College,9296
Oehrlein School of Cosmetology,9229
Ogden-Weber Technical College,1614
Ogeechee Technical College,5222
Oglala Lakota College,2065
Ogle School Hair Skin Nails-Arlington,22325
Ogle School Hair Skin Nails-Dallas,19616
Ogle School Hair Skin Nails-Denton,18818
Ogle School Hair Skin Nails-Ft Worth,19659
Ogle School Hair Skin Nails-Hurst,20041
Ogle School Hair Skin Nails-North Dallas,21125
Ogle School Hair Skin Nails-San Antonio,20159
Ogle School Hair Skin Nails-Stafford,20472
Ogle School Hair Skin Nails-Willowbrook,21416
Oglethorpe University,21735
Ohel Margulia Seminary,8002
Ohio Business College-Dayton-Driving Academy,3422
Ohio Business College-Sandusky,28674
Ohio Business College-Sheffield,21181
Ohio Christian University,21607
Ohio Dominican University,19476
Ohio Institute of Allied Health,38315
Ohio Media School-Cincinnati,24776
Ohio Media School-Columbus,25406
Ohio Media School-Valley View,24542
Ohio Medical Career College,16023
Ohio Northern University,25727
Ohio State Beauty Academy,6962
Ohio State College of Barber Styling,14383
Ohio State School of Cosmetology-Canal Winchester,17117
Ohio State School of Cosmetology-Heath,14660
Ohio State University Agricultural Technical Institute,17769
Ohio State University-Lima Campus,12458
Ohio State University-Main Campus,18292
Ohio State University-Mansfield Campus,16512
Ohio State University-Marion Campus,11800
Ohio State University-Newark Campus,14814
Ohio Technical College,27952
Ohio University-Chillicothe Campus,6483
Ohio University-Eastern Campus,4503
Ohio University-Lancaster Campus,6133
Ohio University-Main Campus,20413
Ohio University-Southern Campus,5328
Ohio University-Zanesville Campus,5971
Ohio Wesleyan University,21619
Ohlone College,14130
Okaloosa Technical College,13545
Oklahoma Baptist University,23880
Oklahoma Christian University,21423
Oklahoma City Community College,5135
Oklahoma City University,21556
Oklahoma Panhandle State University,7557
Oklahoma State University Institute of Technology,11588
Oklahoma State University-Main Campus,16378
Oklahoma State University-Oklahoma City,5877
Oklahoma Technical College,28311
Oklahoma Wesleyan University,26827
Old Dominion University,14170
Old Town Barber College-Wichita,14647
Oliver Finley Academy of Cosmetology,21522
Olivet Nazarene University,21539
Olney Central College,9968
Olympian Academy of Cosmetology,20874
Olympic College,7755
Omega Institute of Cosmetology,10667
One Stop Academy,7321
Onondaga Community College,7178
Onondaga Cortland Madison BOCES,15459
Opelousas School of Cosmetology,16904
Oral Roberts University,23600
Orange Coast College,4754
Orange County Community College,7442
Orange Technical College,7826
Orange Technical College-East Campus,22206
Orange Technical College-West Campus,10256
Orange Ulster BOCES-Practical Nursing Program,24401
Orangeburg Calhoun Technical College,6119
Oregon Coast Community College,11695
Oregon Institute of Technology,16391
Oregon State University,19568
Oregon State University-Cascades Campus,17722
Orion Institute,21032
Orion Technical College,20489
Orleans Technical College,17627
Orlo School of Hair Design and Cosmetology,16864
Osceola Technical College,5420
Otero College,11329
Otis College of Art and Design,45864
Otsego Area BOCES-Practical Nursing Program,8280
Ottawa University-Ottawa,28083
Ottawa University-Surprise,35081
Otterbein University,22140
Ouachita Baptist University,22355
Our Lady of the Lake University,17760
Owens Community College,10202
Owensboro Community and Technical College,4627
Oxford Academy of Hair Design Inc,12671
Oxnard College,659
Ozark Christian College,17931
Ozarka College,4396
Ozarks Technical Community College,7340
P B Cosmetology Education Center,22005
P C Age-Jersey City,22327
P&A Scholars Beauty School,9759
PC AGE-Metropark,22528
PCI Academy-Ames,18518
PCI Academy-Iowa City,18648
PCI Academy-Plymouth,15865
PCI College,24046
PCI Health Training Center,18420
PITC Institute,19304
PJ's College of Cosmetology-Bowling Green,20272
PJ's College of Cosmetology-Clarksville,20299
PJ's College of Cosmetology-Glasgow,19420
PJ's College of Cosmetology-Richmond,17717
PMCA Pittsburgh Multicultural Cosmetology Academy,15994
PPG Technical College,5819
Pace University,31046
Pacific College,21941
Pacific College of Health and Science,39710
Pacific College of Health and Science,46892
Pacific Islands University,6746
Pacific Lutheran University,21370
Pacific Northwest Christian College,5857
Pacific Northwest College of Art,40846
Pacific Rim Christian University,22668
Pacific Union College,20979
Pacific University,35350
Paier College,30982
Paine College,15074
Palau Community College,2810
Palladium Technical Academy Inc,16761
Palm Beach Academy of Health & Beauty,27045
Palm Beach Atlantic University,32751
Palm Beach State College,9832
Palo Alto College,4374
Palo Verde College,10543
Palomar College,5247
Palomar Institute of Cosmetology,18176
Pamlico Community College,7847
Panola College,7429
Paradise Valley Community College,13478
Paramount Beauty Academy,17877
Paris Junior College,6662
Parisian Beauty School,21316
Parisian Spa Institute,8710
Park Place Premier Barber School,12005
Park University,15529
Parker University,25491
Parkland College,8271
Pasadena City College,3123
Pasco-Hernando State College,5154
Passaic County Community College,7857
Pat Goins Beauty Schools formerly Paul Mitchell the School-Shreveport,14808
Pathway Vocational Academy,19893
Patrick & Henry Community College,3430
Paul D Camp Community College,5666
Paul Mitchell the School-Albuquerque,14118
Paul Mitchell the School-Arkansas,15309
Paul Mitchell the School-Arlington,22334
Paul Mitchell the School-Atlanta,17887
Paul Mitchell the School-Austin,20313
Paul Mitchell the School-Baton Rouge,15535
Paul Mitchell the School-Birmingham,13735
Paul Mitchell the School-Boise,21176
Paul Mitchell the School-Charleston,14415
Paul Mitchell the School-Chicago,16064
Paul Mitchell the School-Cincinnati,22003
Paul Mitchell the School-Clear Lake,21928
Paul Mitchell the School-Cleveland,20344
Paul Mitchell the School-Colorado Springs,16851
Paul Mitchell the School-Columbia,12804
Paul Mitchell the School-Columbus,18169
Paul Mitchell the School-Costa Mesa,12063
Paul Mitchell the School-Dallas,28455
Paul Mitchell the School-Delaware,16036
Paul Mitchell the School-Denver,11886
Paul Mitchell the School-East Bay,30889
Paul Mitchell the School-Esani,18769
Paul Mitchell the School-Farmington Hills,23226
Paul Mitchell the School-Fayetteville,14498
Paul Mitchell the School-Fort Lauderdale,23036
Paul Mitchell the School-Fort Myers,17612
Paul Mitchell the School-Fresno,20048
Paul Mitchell the School-Gastonia,15034
Paul Mitchell the School-Grand Rapids,14465
Paul Mitchell the School-Great Lakes,10263
Paul Mitchell the School-Greenville,18487
Paul Mitchell the School-Houston,20616
Paul Mitchell the School-Huntsville,23830
Paul Mitchell the School-Indianapolis,14406
Paul Mitchell the School-Jacksonville,21529
Paul Mitchell the School-Jessup,18969
Paul Mitchell the School-Knoxville,21558
Paul Mitchell the School-Las Vegas,27485
Paul Mitchell the School-Lexington,22869
Paul Mitchell the School-Little Rock,14508
Paul Mitchell the School-Logan,14641
Paul Mitchell the School-Lombard,17337
Paul Mitchell the School-Louisville,26643
Paul Mitchell the School-Madison,23365
Paul Mitchell the School-Memphis,20861
Paul Mitchell the School-Merrillville,16793
Paul Mitchell the School-Miami,20559
Paul Mitchell the School-Michigan,17661
Paul Mitchell the School-Milwaukee,17564
Paul Mitchell the School-Missouri Columbia,16681
Paul Mitchell the School-Modesto,17550
Paul Mitchell the School-Murfreesboro,20915
Paul Mitchell the School-Murfreesboro-Nashville,21895
Paul Mitchell the School-NYC,19024
Paul Mitchell the School-Nampa,19777
Paul Mitchell the School-New Orleans,20495
Paul Mitchell the School-Normal,16843
Paul Mitchell the School-North Haven,13534
Paul Mitchell the School-North Tahoe,19323
Paul Mitchell the School-Orlando,18877
Paul Mitchell the School-Overland Park,18979
Paul Mitchell the School-Pasadena,30966
Paul Mitchell the School-Phoenix,18308
Paul Mitchell the School-Portsmouth,26009
Paul Mitchell the School-Provo,18284
Paul Mitchell the School-Raleigh,17979
Paul Mitchell the School-Rapid City,21014
Paul Mitchell the School-Reno,20951
Paul Mitchell the School-Rexburg,18012
Paul Mitchell the School-Rhode Island,32626
Paul Mitchell the School-Richland,27097
Paul Mitchell the School-Roanoke,17280
Paul Mitchell the School-Sacramento,19748
Paul Mitchell the School-Salt Lake City,13704
Paul Mitchell the School-San Antonio,25035
Paul Mitchell the School-San Diego,25671
Paul Mitchell the School-San Jose,25546
Paul Mitchell the School-Schenectady,25008
Paul Mitchell the School-Sherman Oaks,26369
Paul Mitchell the School-Spokane,19718
Paul Mitchell the School-Springfield,16487
Paul Mitchell the School-St Louis,19615
Paul Mitchell the School-St. George,16082
Paul Mitchell the School-Tampa,22279
Paul Mitchell the School-Temecula,33646
Paul Mitchell the School-Tinley Park,14852
Paul Mitchell the School-Toledo,23066
Paul Mitchell the School-Tulsa,20064
Paul Mitchell the School-Twin Falls,21245
Paul Mitchell the School-Tysons Corner,27337
Paul Mitchell the School-Wichita,18938
Paul Quinn College,20244
Paul Smiths College of Arts and Science,24583
Pearl River Community College,4881
Pearlands Innovative School of Beauty,19738
Peirce College,12905
Pellissippi State Community College,5252
Peloton College,17372
Peloton College,16976
Peninsula College,4529
Penn Commercial Business/Technical School,17147
Pennco Tech-Blackwood,22036
Pennco Tech-Bristol,20710
Pennsylvania Academy of the Fine Arts,45022
Pennsylvania College of Art and Design,29266
Pennsylvania College of Health Sciences,37208
Pennsylvania College of Technology,26084
Pennsylvania Gunsmith School,30056
Pennsylvania Highlands Community College,7454
Pennsylvania Institute of Technology,16685
Pennsylvania State University-Main Campus,32598
Pennsylvania State University-Penn State Abington,17818
Pennsylvania State University-Penn State Altoona,24704
Pennsylvania State University-Penn State Beaver,18657
Pennsylvania State University-Penn State Berks,24581
Pennsylvania State University-Penn State Brandywine,22518
Pennsylvania State University-Penn State DuBois,18192
Pennsylvania State University-Penn State Erie-Behrend College,22951
Pennsylvania State University-Penn State Fayette- Eberly,19450
Pennsylvania State University-Penn State Greater Allegheny,14721
Pennsylvania State University-Penn State Harrisburg,23478
Pennsylvania State University-Penn State Hazleton,20062
Pennsylvania State University-Penn State Lehigh Valley,19324
Pennsylvania State University-Penn State Mont Alto,19993
Pennsylvania State University-Penn State New Kensington,19522
Pennsylvania State University-Penn State Schuylkill,21228
Pennsylvania State University-Penn State Scranton,18934
Pennsylvania State University-Penn State Shenango,14259
Pennsylvania State University-Penn State Wilkes-Barre,15775
Pennsylvania State University-Penn State York,18922
Pennsylvania State University-World Campus,20826
Pennsylvania Western University,19352
Penrose Academy,23650
Pensacola School of Massage Therapy & Health Careers,19058
Pensacola State College,2254
Penta County Joint Vocational School,9940
Pepperdine University,45409
Perry Technical Institute,23292
Personal Touch Beauty and Barber College,9880
Peru State College,11401
Pfeiffer University,21953
Phagans Beauty College,8551
Phagans Central Oregon Beauty College,10542
Phagans Grants Pass College of Beauty,12369
Phagans Medford Beauty School,13798
Phagans School of Beauty,9747
Phagans School of Hair Design,9780
Philadelphia Technician Training,23288
Philander Smith University,15360
Phillips Community College of the University of Arkansas,5420
Phipps Academy of Barbering,11785
Phoenix College,11728
Pickens Technical College,7055
Piedmont Community College,5215
Piedmont Technical College,10862
Piedmont University,20893
Piedmont Virginia Community College,6347
Pierce College District,10123
Pierpont Community and Technical College,9096
Pike-Lincoln Technical Center,6128
Pikes Peak State College,9682
Pillar College,5804
Pima Community College,3123
Pima Medical Institute-Albuquerque,20348
Pima Medical Institute-Aurora,18729
Pima Medical Institute-Chula Vista,21925
Pima Medical Institute-Colorado Springs,24909
Pima Medical Institute-Denver,21821
Pima Medical Institute-Dillon,25676
Pima Medical Institute-East Valley,6526
Pima Medical Institute-El Paso,23746
Pima Medical Institute-Houston,21060
Pima Medical Institute-Las Vegas,22661
Pima Medical Institute-Mesa,20904
Pima Medical Institute-Phoenix,6939
Pima Medical Institute-Renton,31193
Pima Medical Institute-San Antonio,21497
Pima Medical Institute-San Marcos,29950
Pima Medical Institute-Seattle,28460
Pine Technical & Community College,10281
Pinellas Technical College-Clearwater,12103
Pinellas Technical College-St. Petersburg,17981
Pineville Beauty School,12923
Pinnacle Career Institute,19024
Pinnacle Institute of Cosmetology,16894
Pioneer Technology Center,8935
Pipo Academy of Hair Design,5823
Pitt Community College,7150
Pittsburg State University,18889
Pittsburgh Institute of Aeronautics,31389
Pittsburgh Technical College,25754
Pitzer College,31663
Pivot Point Academy,12141
Platt College-Anaheim,25680
Platt College-Aurora,42287
Platt College-Los Angeles,28014
Platt College-Ontario,27002
Platt College-Riverside,26217
Plaza College,18193
Plymouth State University,19685
Point Loma Nazarene University,50168
Point Park University,24791
Point University,20752
Polaris Career Center,13043
Polk State College,9027
Polytechnic University of Puerto Rico-Orlando,20040
Pomeroy College of Nursing at Crouse Hospital,22322
Pomona College,19424
Pomona Unified School District Adult and Career Education,6005
Ponca City Beauty College,7691
Ponce Health Sciences University-East,17687
Pontifical Catholic University of Puerto Rico-Arecibo,9421
Pontifical Catholic University of Puerto Rico-Mayaguez,8264
Pontifical Catholic University of Puerto Rico-Ponce,10082
Pontotoc Technology Center,3131
Poplar Bluff Technical Career Center,22631
Port Huron Cosmetology College,10398
Portage Lakes Career Center,19200
Porter & Chester Institute,17332
Porter & Chester Institute of Hamden,19011
Porterville College,3728
Portland Actors Conservatory,29915
Portland Community College,9920
Portland State University,12932
Post University,19196
Potomac State College of West Virginia University,7403
Prairie State College,5280
Prairie View A & M University,14041
Pratt Community College,8244
Pratt Institute-Main,50647
Praxis Institute,8661
Premier Academy of Cosmetology,17891
Premier Barber Institute,19904
Premier Barber School,19562
Premiere Aesthetics Institute,12404
Premiere Career College,23214
Presbyterian College,20899
Prescott College,20906
Prince George's Community College,10857
Princess Institute of Beauty,12151
Princeton University,10555
Prism Career Institute-Cherry Hill,28909
Prism Career Institute-Philadelphia,27173
Prism Career Institute-West Atlantic City,28754
Pro Beauty Academy,26278
Pro Way Hair School,12799
Professional Culinary Academy,37471
Professional Golfers Career College,31397
Professional Institute of Beauty,13152
Professional Skills Institute,20237
Professional Technical Institution,7068
Professional's Choice Hair Design Academy,16092
Profile Institute of Barber-Styling,20489
Protege Academy,11818
Protege Academy,12831
Providence Christian College,25378
Providence College,45538
Provo College,30255
Provo College-Idaho Falls Campus,31248
Pueblo Community College,11063
Puerto Rico Conservatory of Music,5244
Purdue University Fort Wayne,11513
Purdue University Global,12267
Purdue University Northwest,8463
Purdue University-Main Campus,13945
Pure Aesthetics Natural Skincare School,24347
Putnam Career and Technical Center,4611
Queens University of Charlotte,27786
Quincy College,14317
Quincy University,17324
Quinnipiac University,39207
Quinsigamond Community College,7764
Rabbi Jacob Joseph School,5774
Rabbinical Academy Mesivta Rabbi Chaim Berlin,3964
Rabbinical College Beth Shraga,11229
Rabbinical College Bobover Yeshiva Bnei Zion,8943
Rabbinical College Ohr Yisroel,6147
Rabbinical College Telshe,8603
Rabbinical College of America,13452
Rabbinical College of Long Island,6253
